route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
4,2024_08_12-DX-MVS-Weekday-001,1561169,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561112,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561170,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561113,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561171,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561114,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561172,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561115,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561173,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561116,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561174,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1575535,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561175,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1575536,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561176,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1575534,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561177,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
1,2024_08_12-DX-MVS-Weekday-001,1561042,"San Francisco International Airport",1,,001F_shp,,0,0
2,2024_08_12-DX-MVS-Weekday-001,1561190,"San Francisco / Antioch",0,,002C_shp,,0,0
1,2024_08_12-DX-MVS-Weekday-001,1561041,"San Francisco International Airport",1,,001F_shp,,0,0
2,2024_08_12-DX-MVS-Weekday-001,1561291,"SF / Pittsburg/Bay Point",0,,002C_shp,,0,0
1,2024_08_12-DX-MVS-Weekday-001,1560995,"San Francisco International Airport",1,,001B_shp,,0,0
2,2024_08_12-DX-MVS-Weekday-001,1561248,"SF / Pittsburg/Bay Point",0,,002B_shp,,0,0
1,2024_08_12-DX-MVS-Weekday-001,1560938,"San Francisco International Airport",1,,001A_shp,,0,0
1,2024_08_12-DX-MVS-Weekday-001,1560996,"San Francisco International Airport",1,,001B_shp,,0,0
2,2024_08_12-DX-MVS-Weekday-001,1561191,"San Francisco / Antioch",0,,002C_shp,,0,0
1,2024_08_12-DX-MVS-Weekday-001,1560939,"San Francisco International Airport",1,,001A_shp,,0,0
2,2024_08_12-DX-MVS-Weekday-001,1561192,"San Francisco / Antioch",0,,002A_shp,,0,0
1,2024_08_12-DX-MVS-Weekday-001,1560997,"San Francisco International Airport",1,,001B_shp,,0,0
1,2024_08_12-DX-MVS-Weekday-001,1560940,"San Francisco International Airport",1,,001A_shp,,0,0
2,2024_08_12-DX-MVS-Weekday-001,1561249,"SF / Pittsburg/Bay Point",0,,002B_shp,,0,0
1,2024_08_12-DX-MVS-Weekday-001,1560994,"San Francisco International Airport",1,,001B_shp,,0,0
